1	31	191
1	33	69
1	38	335
1	46	192
1	51	207
1	80	87
2	21	207
2	27	150
2	44	187
2	46	163
2	63	112
3	15	169
3	20	222
3	26	144
3	32	168
3	42	223
3	43	100
3	64	115
4	13	234
4	25	183
4	36	214
4	49	245
4	65	228
4	76	143
5	19	92
5	55	131
5	60	114
5	66	200
6	14	191
6	18	130
6	26	233
6	40	184
6	42	258
6	68	225
6	71	75
7	15	122
7	32	130
7	33	466
7	42	322
7	48	311
7	70	374
8	25	226
8	53	161
8	75	116
9	20	126
9	35	126
9	45	155
9	48	99
10	16	151
10	17	198
10	35	176
10	43	228
10	45	141
11	14	213
11	16	94
11	26	83
11	43	112
11	54	99
12	21	141
12	23	144
12	24	275
12	25	177
12	49	111
12	62	144
13	49	83
13	56	96
13	65	161
13	72	135
14	18	233
14	26	291
14	54	114
14	67	157
14	78	134
14	81	45
15	20	150
15	32	51
15	48	241
16	41	132
16	43	177
16	54	157
16	77	69
17	22	216
17	59	187
18	19	156
18	37	106
18	71	104
18	78	193
19	37	197
19	55	172
19	57	266
19	66	108
19	71	166
20	45	208
20	48	145
20	64	150
21	23	153
21	44	249
21	47	96
21	49	252
21	63	176
21	72	100
22	39	62
22	59	140
22	71	761
23	24	267
23	44	98
23	62	136
24	25	190
24	28	295
24	29	133
24	44	363
24	58	248
24	62	131
24	69	155
25	36	203
25	49	266
25	53	259
25	61	296
25	69	125
25	75	233
26	42	338
26	43	78
27	31	193
27	46	76
27	63	137
27	79	64
27	80	125
28	29	162
28	52	44
28	58	298
28	61	136
29	61	100
29	69	78
30	65	197
30	73	189
31	80	129
32	42	263
33	42	348
33	51	200
33	70	235
34	41	111
34	59	131
35	45	35
36	75	94
36	76	140
37	57	183
37	74	183
37	78	114
38	46	261
38	50	81
38	51	128
38	58	194
38	66	197
39	59	121
40	50	91
40	66	112
40	68	110
40	71	113
41	54	37
41	77	65
42	51	242
42	68	148
42	70	119
43	45	316
43	64	139
44	46	224
44	58	243
45	64	195
46	58	327
46	80	105
47	56	227
47	63	188
47	72	150
47	73	197
49	72	218
50	51	82
50	66	203
50	68	75
51	68	122
52	55	150
52	58	314
52	60	216
53	61	75
53	69	253
54	81	69
55	57	155
55	60	229
56	65	257
56	72	86
56	73	100
58	60	108
58	66	224
60	66	205
61	69	178
65	73	367
66	71	140
67	74	87
67	78	100
67	81	113
74	78	89
